item,itemLabel,itemDescription,coordinate,instance_ofLabel,named_afters,named_afterLabel,named_afterDescriptions,named_after_instance_ofLabels,named_after_genderLabel,postal_codes,length,inception,place_of_birth,place_of_death,citizenships,occupations,birth_years,death_years
http://www.wikidata.org/entity/Q97281542,Wilhelm-Rudolph-Straße,Straße in Dresden,Point(13.7799 51.02016),Innerortsstraße,http://www.wikidata.org/entity/Q1687952,Wilhelm Rudolph,,,männlich,01219,,,Hilbersdorf,Dresden,Deutsche Demokratische Republik,"Grafiker, Hochschullehrer, Maler",1889,1982
http://www.wikidata.org/entity/Q97282907,Walter-Arnold-Straße,Straße in Dresden,Point(13.78073 51.01733),Innerortsstraße,http://www.wikidata.org/entity/Q1427499,Walter Arnold,,,männlich,01219,,,Leipzig,Dresden,"Deutsche Demokratische Republik,Deutsches Reich","Hochschullehrer, Bildhauer, Politiker",1909,1979
http://www.wikidata.org/entity/Q97283963,Wilhelm-Lachnit-Straße,Straße in Dresden,Point(13.77892 51.01622),Innerortsstraße,http://www.wikidata.org/entity/Q89725,Wilhelm Lachnit,,,männlich,01219,,,Gittersee,Dresden,"Deutsche Demokratische Republik,Deutsches Reich","Zeichner, Grafiker, Maler",1899,1962
http://www.wikidata.org/entity/Q97270530,Kadenstraße,Straße in Dresden,Point(13.81246 51.01607),Innerortsstraße,http://www.wikidata.org/entity/Q762225,August Kaden,,,männlich,01237,,,Großenhain,Dresden,Königreich Sachsen,"Verleger, Herausgeber, Politiker",1850,1913
http://www.wikidata.org/entity/Q95390742,Röntgenstraße,Straße in Dresden,Point(13.77227 51.00576),Innerortsstraße,http://www.wikidata.org/entity/Q35149,Wilhelm Conrad Röntgen,,,männlich,01239,,,Lennep,München,"Königreich Preußen,Weimarer Republik,Deutsches Kaiserreich","Forscher, Physiker, Professor, Ingenieur",1845,1923
http://www.wikidata.org/entity/Q95689820,Winckelmannstraße,Straße in Dresden-Südvorstadt,Point(13.73032 51.03717),Innerortsstraße,http://www.wikidata.org/entity/Q57280,Johann Joachim Winckelmann,,,männlich,01069,,,Stendal,Triest,Königreich Preußen,"Archäologe, Kunsthistoriker, Hauslehrer, Historiker, Bibliothekar, Schriftsteller",1717,1768
http://www.wikidata.org/entity/Q95690065,Gutzkowstraße,Straße in Dresden-Südvorstadt,Point(13.74035 51.03404),Innerortsstraße,http://www.wikidata.org/entity/Q76755,Karl Gutzkow,,,männlich,01069,,,Berlin,Frankfurt am Main,Königreich Preußen,"Romancier, Literaturkritiker, Journalist, Dramatiker, Schriftsteller",1811,1878
http://www.wikidata.org/entity/Q97284986,Schroeterstraße,Straße in Dresden,Point(13.78403 51.01344),Innerortsstraße,http://www.wikidata.org/entity/Q77232,Johann Hieronymus Schroeter,,,männlich,01237,,,Erfurt,Lilienthal,Kurmainz,"Kartograf, Jurist, Astronom",1745,1816
http://www.wikidata.org/entity/Q97285047,Knöffelstraße,Straße in Dresden,Point(13.75648 51.02311),Innerortsstraße,http://www.wikidata.org/entity/Q114916,Johann Christoph Knöffel,,,männlich,01217,,,Dresden,Dresden,Kurfürstentum Sachsen,"Baumeister, Architekt",1686,1752
http://www.wikidata.org/entity/Q97285047,Knöffelstraße,Straße in Dresden,Point(13.75648 51.02311),Innerortsstraße,http://www.wikidata.org/entity/Q114916,Johann Christoph Knöffel,,,männlich,01217,,,Oelsa,Dresden,Kurfürstentum Sachsen,"Baumeister, Architekt",1686,1752
http://www.wikidata.org/entity/Q72662187,Damaschkestraße,Straße in Dresden-Meußlitz,Point(13.859785 51.000585),Innerortsstraße,http://www.wikidata.org/entity/Q89439,Adolf Damaschke,,,männlich,01259,,,Berlin,Berlin,"Königreich Preußen,Deutsches Reich","Meinungsjournalist, Wirtschaftswissenschaftler, Politiker",1865,1935
http://www.wikidata.org/entity/Q66616708,Zelenkastraße,Straße in Dresden,Point(13.704036 51.079452),Innerortsstraße,http://www.wikidata.org/entity/Q157777,Jan Dismas Zelenka,,,männlich,01139,,,Louňovice pod Blaníkem,Dresden,"Königreich Böhmen,Kurfürstentum Sachsen","Kontrabassist, Dirigent, Komponist",1679,1745
http://www.wikidata.org/entity/Q96060636,Hantzschstraße,Straße in Dresden,Point(13.71295 51.02021),Innerortsstraße,http://www.wikidata.org/entity/Q362012,Adolf Hantzsch,,,männlich,01187,,,Dresden,Dresden,Deutschland,"Pädagoge, Historiker",1841,1920
http://www.wikidata.org/entity/Q96088955,Klopstockstraße,Straße in Dresden,Point(13.69 51.05076),Innerortsstraße,http://www.wikidata.org/entity/Q154367,Friedrich Gottlieb Klopstock,,,männlich,01157,,,Quedlinburg,Hamburg,Deutschland,"Linguist, Hauslehrer, Dramatiker, Dichter, Schriftsteller",1724,1803
http://www.wikidata.org/entity/Q66619375,Pettenkoferstraße,Straße in Dresden,Point(13.706878 51.085041),Innerortsstraße,http://www.wikidata.org/entity/Q44993,Max von Pettenkofer,,,männlich,01139,,,Lichtenau,München,Königreich Bayern,"Hochschullehrer, Hygienefachkraft, Chemiker, Apotheker, Arzt",1818,1901
