ID,Wikidata-Item,Straßenname,Koordinaten,Wikidata-Item (benannt nach),benannt nach,Beschreibung (benannt nach),Postleitzahl,lokaler Bezug,Benennungstyp,Benennungstyp II,Tätigkeitsfeld,Tätigkeitsfeld II,Verbindung,Sonstiges,Grundwort,Strassenendung
1078,http://www.wikidata.org/entity/Q67311884,Morseweg,Point(13.701969 51.094579),http://www.wikidata.org/entity/Q75698,Samuel F. B. Morse,"US-amerikanischer Erfinder und Professor für Malerei, Plastik und Zeichenkunst",1129,nein,Person real,,,,,,Weg,Weg
2172,http://www.wikidata.org/entity/Q66615579,Brockwitzer Straße,Point(13.702004 51.078834),http://www.wikidata.org/entity/Q923968,Brockwitz (Coswig),Ortsteil von Coswig,1139,nein,Ort,,,,,,Straße,Straße
1422,http://www.wikidata.org/entity/Q66817162,Fechnerstraße,Point(13.702063 51.0851),http://www.wikidata.org/entity/Q76881,Gustav Theodor Fechner,deutscher Physiker und Philosoph,1139,ja,Person real,,,,,,Straße,Straße
1631,http://www.wikidata.org/entity/Q67361467,Kleestraße,Point(13.702142 51.092148),http://www.wikidata.org/entity/Q1712810,Julius Ludwig Klee,deutscher Sprachwissenschaftler und Lehrer,1139,ja,Person real,,,,,,Straße,Straße
2209,http://www.wikidata.org/entity/Q96060722,Saarbrückener Straße,Point(13.70217 51.01975),http://www.wikidata.org/entity/Q1724,Saarbrücken,Hauptstadt des Saarlandes,1189,nein,Ort,,,,,,Straße,Straße
1755,http://www.wikidata.org/entity/Q96058461,Gröbelstraße,Point(13.70227 51.04308),http://www.wikidata.org/entity/Q21543968,Christian Ernst August Gröbel,deutscher Klassischer Philologe und Gymnasiallehrer,1159,ja,Person real,,,,,,Straße,Straße
572,http://www.wikidata.org/entity/Q63871470,Saarstraße,Point(13.70228 51.01899),http://www.wikidata.org/entity/Q153972,Saar,rechter Nebenfluss der Mosel,1189,nein,weitere Geografika,Gewässer,,,,,Straße,Straße
1791,http://www.wikidata.org/entity/Q66817169,Waldemarstraße,Point(13.702353 51.087353),,August Waldemar Höpfner,Fabrikant und Gemeinderatsmitglied in Kaditz,1139,ja,Person real,,,,,,Straße,Straße
2628,http://www.wikidata.org/entity/Q72662246,Döhlener Straße,Point(13.70254 51.0405),http://www.wikidata.org/entity/Q383394,Döhlen (Freital),Stadtteil von Freital,1159,ja,Ort,,,,,,Straße,Straße
2341,http://www.wikidata.org/entity/Q98167317,Ölsaer Weg,Point(13.70279 51.01508),http://www.wikidata.org/entity/Q2015079,Oelsa (Rabenau),Ortsteil von Rabenau,1189,nein,Ort,,,,,,Weg,Weg
2661,http://www.wikidata.org/entity/Q96058510,Hainsberger Straße,Point(13.70298 51.03751),http://www.wikidata.org/entity/Q383407,Hainsberg (Freital),Stadtteil von Freital,1159,ja,Ort,,,,,,Straße,Straße
1790,http://www.wikidata.org/entity/Q66817001,Adolfstraße,Point(13.703012 51.087021),,Adolf Franze,Gutsbesitzer und Gemeinderat in Kaditz,1139,ja,Person real,,,,,,Straße,Straße
1079,http://www.wikidata.org/entity/Q67361789,Richard-Rösch-Straße,Point(13.703141 51.091946),http://www.wikidata.org/entity/Q17126615,Richard Rösch,deutscher Kommunalpolitiker und Journalist,1129,ja,Person real,,,,,,Straße,Straße
2321,http://www.wikidata.org/entity/Q96001144,Pforzheimer Straße,"Point(13.70318 51.00879),Point(13.70318 51.00879),Point(13.70318 51.00879),Point(13.70318 51.00879),Point(13.70318 51.00879),Point(13.70318 51.00879),Point(13.70318 51.00879),Point(13.70318 51.00879),Point(13.70318 51.00879)","http://www.wikidata.org/entity/Q3046,http://www.wikidata.org/entity/Q3046,http://www.wikidata.org/entity/Q3046,http://www.wikidata.org/entity/Q3046,http://www.wikidata.org/entity/Q3046,http://www.wikidata.org/entity/Q3046,http://www.wikidata.org/entity/Q3046,http://www.wikidata.org/entity/Q3046,http://www.wikidata.org/entity/Q3046",Pforzheim,"Großstadt in Baden-Württemberg, Deutschland,Großstadt in Baden-Württemberg, Deutschland,Großstadt in Baden-Württemberg, Deutschland,Großstadt in Baden-Württemberg, Deutschland,Großstadt in Baden-Württemberg, Deutschland,Großstadt in Baden-Württemberg, Deutschland,Großstadt in Baden-Württemberg, Deutschland,Großstadt in Baden-Württemberg, Deutschland,Großstadt in Baden-Württemberg, Deutschland",1189,nein,Ort,,,,,,Straße,Straße
2091,http://www.wikidata.org/entity/Q61745450,Lommatzscher Straße,Point(13.70323 51.08244),http://www.wikidata.org/entity/Q8734,Lommatzsch,"Stadt im Landkreis Meißen, Sachsen, Deutschland",1139,nein,Ort,,,,,,Straße,Straße
1335,http://www.wikidata.org/entity/Q67311524,Maria-Kirch-Straße,Point(13.70354 51.096141),http://www.wikidata.org/entity/Q77511,Maria Margaretha Kirch,deutsche Astronomin (1670-1720),1129,nein,Person real,,,,,,Straße,Straße
2318,http://www.wikidata.org/entity/Q96001126,Stuttgarter Straße,Point(13.7036 51.01182),http://www.wikidata.org/entity/Q1022,Stuttgart,"Landeshauptstadt von Baden-Württemberg, Deutschland",1189,nein,Ort,,,,,,Straße,Straße
1131,http://www.wikidata.org/entity/Q72661828,Baluschekstraße,Point(13.70366 51.0455),http://www.wikidata.org/entity/Q313982,Hans Baluschek,"deutscher Maler, Grafiker und Schriftsteller (1870-1935)",1159,nein,Person real,,,,,,Straße,Straße
3191,,Forsthaus Baumwiese (Boxdorf),Point(13.7036713 51.1104404),,,,1468,ja,Bauwerk/Infrastruktur,,,,,,Wiese,Sonstige
59,http://www.wikidata.org/entity/Q72662109,Chausseehausstraße,Point(13.70373 51.03944),,,,1159,ja,Bauwerk/Infrastruktur,,,,,,Straße,Straße
