Straßenname,Ortsname,lat,lon,adresse
Sobrigauer Weg,Sobrigau (Kreischa),50.9797229,13.7837048,"Sobrigau, Kreischa, Sächsische Schweiz-Osterzgebirge, Sachsen, 01239, Deutschland"
Langebrücker Straße,Langebrück,51.1313939,13.8409193,"Langebrück, Dresden, Sachsen, 01465, Deutschland"
Radeburger Landstraße,Radeburg,51.2149248,13.7241174,"Radeburg, Meißen, Sachsen, 01471, Deutschland"
Gomlitzer Querweg,Gomlitz,51.1513243,13.7912669,"Gomlitz, Weixdorf, Dresden, Sachsen, 01108, Deutschland"
Wittenberger Straße,Wittenberg,51.8666527,12.646761,"Wittenberg, Sachsen-Anhalt, Deutschland"
Ruppendorfer Weg,Ruppendorf (Klingenberg),50.9088387,13.5997776,"Ruppendorf, Klingenberg, Sächsische Schweiz-Osterzgebirge, Sachsen, 01738, Deutschland"
Schandauer Straße,Bad Schandau,50.918091,14.1534018,"Bad Schandau, Sächsische Schweiz-Osterzgebirge, Sachsen, 01814, Deutschland"
Rähnitzer Mühlweg,Rähnitz,51.1189656,13.7371476,"Rähnitz, Klotzsche, Dresden, Sachsen, 01109, Deutschland"
Augsburger Straße,Augsburg,48.3690341,10.8979522,"Augsburg, Bayern, Deutschland"
Prohliser Straße,Prohlis,51.0066538,13.7930626,"Prohlis, Dresden, Sachsen, 01239, Deutschland"
Glashütter Straße,Glashütte,50.8502095,13.7766767,"Glashütte, Sächsische Schweiz-Osterzgebirge, Sachsen, 01768, Deutschland"
Hirschbacher Weg,Hirschbach (Glashütte),50.9069344,13.7432157,"Hirschbach, Glashütte, Sächsische Schweiz-Osterzgebirge, Sachsen, 01768, Deutschland"
Bodenbacher Straße,Podmokly (Děčín),50.7747257,14.1982579,"Podmokly, Děčín, okres Děčín, Ústecký kraj, Severozápad, Česko"
Wolkensteiner Straße,Wolkenstein (Sachsen),50.6557148,13.0664608,"Wolkenstein, Erzgebirgskreis, Sachsen, 09429, Deutschland"
Borthener Straße,Borthen (Dohna),50.9696158,13.8016583,"Borthen, Dohna, Dohna-Müglitztal, Sächsische Schweiz-Osterzgebirge, Sachsen, 01239, Deutschland"
Vetschauer Straße,Vetschau/Spreewald,51.7826993,14.0747958,"Vetschau/Spreewald, Oberspreewald-Lausitz - Górne Błota-Łužyca, Brandenburg, 03226, Deutschland"
Altreick,Reick,51.0133206,13.7939453,"Reick, Prohlis, Dresden, Sachsen, 01237, Deutschland"
Altweixdorf,Weixdorf,51.1528007,13.7916658,"Weixdorf, Dresden, Sachsen, 01108, Deutschland"
Nickerner Straße,Nickern (Dresden),50.9942356,13.7874795,"Nickern, Prohlis, Dresden, Sachsen, 01239, Deutschland"
Frauensteiner Platz,Frauenstein,50.8024134,13.5382248,"Frauenstein, Mittelsachsen, Sachsen, Deutschland"
Altgomlitz,Gomlitz,51.1513243,13.7912669,"Gomlitz, Weixdorf, Dresden, Sachsen, 01108, Deutschland"
Lübbenauer Straße,Lübbenau,51.8680114,13.9689477,"Lübbenau/Spreewald, Oberspreewald-Lausitz - Górne Błota-Łužyca, Brandenburg, 03222, Deutschland"
Loschwitzer Straße,Loschwitz,51.0555235,13.8154546,"Loschwitz, Dresden, Sachsen, 01277, Deutschland"
Nickerner Platz,Nickern (Dresden),50.9942356,13.7874795,"Nickern, Prohlis, Dresden, Sachsen, 01239, Deutschland"
Uttewalder Straße,Uttewalde (Lohmen),50.9767624,14.0310288,"Uttewalde, Lohmen, Lohmen/Stadt Wehlen, Sächsische Schweiz-Osterzgebirge, Sachsen, 01829, Deutschland"
Wittgensdorfer Straße,Wittgensdorf (Kreischa),50.9393948,13.796119,"Wittgensdorf, Kreischa, Sächsische Schweiz-Osterzgebirge, Sachsen, 01731, Deutschland"
Liebethaler Weg,Liebethal (Pirna),50.9986432,13.9585538,"Liebethal, Pirna, Sächsische Schweiz-Osterzgebirge, Sachsen, 01796, Deutschland"
Gubener Straße,Guben,51.9503235,14.7153567,"Guben, Spree-Neiße - Sprjewja-Nysa, Brandenburg, 03172, Deutschland"
Nickerner Weg,Nickern (Dresden),50.9942356,13.7874795,"Nickern, Prohlis, Dresden, Sachsen, 01239, Deutschland"
Herzberger Straße,Herzberg (Elster),51.6924078,13.2358585,"Herzberg (Elster), Elbe-Elster, Brandenburg, 04916, Deutschland"
Eibenstocker Straße,Eibenstock,50.4951715,12.5983957,"Eibenstock, Erzgebirgskreis, Sachsen, 08309, Deutschland"
Berzdorfer Straße,Berzdorf auf dem Eigen,51.0474279,14.8269241,"Bernstadt auf dem Eigen, Bernstadt / Schönau-Berzdorf, Görlitz, Sachsen, 02748, Deutschland"
Klebaer Straße,Kleba (Kreischa),50.9618288,13.7544258,"Kleba, Kreischa, Sächsische Schweiz-Osterzgebirge, Sachsen, 01731, Deutschland"
Prohliser Allee,Prohlis,51.0066538,13.7930626,"Prohlis, Dresden, Sachsen, 01239, Deutschland"
Brühler Straße,Brühl,50.8291313,6.9037057,"Brühl, Rhein-Erft-Kreis, Nordrhein-Westfalen, 50321, Deutschland"
Seidnitzer Weg,Seidnitz,51.0275953,13.803068,"Seidnitz, Blasewitz, Dresden, Sachsen, 01277, Deutschland"
Trattendorfer Straße,Trattendorf,51.5488586,14.3760271,"Trattendorf - Dubrawa, Spremberg, Spree-Neiße - Sprjewja-Nysa, Brandenburg, 03130, Deutschland"
